Player,Nation,Pos,Age,MP,Playing_TimeMin,Playing_TimeMn/MP,Playing_TimeMin%,Playing_Time90s,StartsStarts,StartsMn/Start,StartsCompl,SubsSubs,SubsMn/Sub,SubsunSub,Team_SuccessPPM,Team_SuccessonG,Team_SuccessonGA,Team_Success+/-,Team_Success+/-90,Team_SuccessOn-Off,Team_Success_(xG)onxG,Team_Success_(xG)onxGA,Team_Success_(xG)xG+/-,Team_Success_(xG)xG+/-90,Team_Success_(xG)On-Off
Dejan Kulusevski,se SWE,"MF,FW",24.82,25,2040.0,82.0,90.7,22.7,23,87.0,20,2,18.0,0,1.2,44.0,34.0,10.0,0.44,0.01,38.8,38.7,0.1,0.0,0.1
Pedro Porro,es ESP,DF,25.43,25,2078.0,83.0,92.4,23.1,22,90.0,20,3,34.0,0,1.2,45.0,35.0,10.0,0.43,-0.09,38.5,39.6,-1.2,-0.05,-0.58
Son Heung-min,kr KOR,FW,32.61,22,1671.0,76.0,74.3,18.6,20,80.0,10,2,32.0,0,1.23,38.0,28.0,10.0,0.54,0.38,29.1,32.5,-3.3,-0.18,-0.67
Dominic Solanke,eng ENG,FW,27.43,18,1598.0,89.0,71.0,17.8,18,89.0,15,0,NULL,0,1.11,37.0,29.0,8.0,0.45,0.04,31.8,30.8,1.0,0.06,0.22
Destiny Udogie,it ITA,DF,22.22,18,1430.0,79.0,63.6,15.9,18,79.0,10,0,NULL,2,1.33,32.0,21.0,11.0,0.69,0.69,28.1,23.7,4.5,0.28,0.79
Brennan Johnson,wls WAL,FW,23.74,22,1519.0,69.0,67.5,16.9,16,81.0,9,6,37.0,0,1.23,30.0,21.0,9.0,0.53,0.29,28.4,26.2,2.2,0.13,0.42
James Maddison,eng ENG,MF,28.24,23,1363.0,59.0,60.6,15.1,16,75.0,1,7,22.0,0,1.17,29.0,21.0,8.0,0.53,0.22,25.8,24.8,1.0,0.07,0.19
Pape Matar Sarr,sn SEN,MF,22.43,25,1282.0,51.0,57.0,14.2,15,69.0,3,10,25.0,0,1.2,29.0,26.0,3.0,0.21,-0.53,20.8,26.4,-5.6,-0.39,-0.9
Radu Drăgușin,ro ROU,DF,23.04,16,1252.0,78.0,55.6,13.9,14,83.0,11,2,43.0,7,0.88,25.0,29.0,-4.0,-0.29,-1.64,21.8,29.7,-7.9,-0.57,-1.27
Guglielmo Vicario,it ITA,GK,28.36,13,1170.0,90.0,52.0,13.0,13,90.0,13,0,NULL,0,1.69,28.0,13.0,15.0,1.15,1.49,26.0,16.6,9.4,0.72,1.52
Yves Bissouma,ml MLI,MF,28.47,19,1049.0,55.0,46.6,11.7,12,77.0,3,7,18.0,2,1.21,26.0,18.0,8.0,0.69,0.46,18.5,20.9,-2.4,-0.2,-0.37
Cristian Romero,ar ARG,DF,26.81,12,974.0,81.0,43.3,10.8,12,81.0,10,0,NULL,0,1.33,22.0,13.0,9.0,0.83,0.69,20.0,12.7,7.2,0.67,1.19
Rodrigo Bentancur,uy URU,MF,27.65,15,945.0,63.0,42.0,10.5,12,77.0,4,3,8.0,0,1.33,16.0,14.0,2.0,0.19,-0.43,19.2,14.3,4.9,0.47,0.82
Archie Gray,eng ENG,DF,18.94,18,975.0,54.0,43.3,10.8,10,90.0,9,8,10.0,7,1.33,20.0,20.0,0.0,0.0,-0.78,14.1,22.3,-8.3,-0.76,-1.33
Micky van de Ven,nl NED,DF,23.83,9,788.0,88.0,35.0,8.8,9,88.0,7,0,NULL,0,1.44,19.0,11.0,8.0,0.91,0.73,17.5,9.6,7.9,0.9,1.39
Djed Spence,eng ENG,DF,24.53,12,770.0,64.0,34.2,8.6,8,88.0,6,4,16.0,8,1.58,19.0,14.0,5.0,0.58,0.22,13.7,17.5,-3.8,-0.44,-0.66
Ben Davies,wls WAL,DF,31.82,8,631.0,79.0,28.0,7.0,7,86.0,6,1,30.0,6,1.63,14.0,7.0,7.0,1.0,0.78,10.7,12.1,-1.4,-0.2,-0.27
Fraser Forster,eng ENG,GK,36.92,7,630.0,90.0,28.0,7.0,7,90.0,7,0,NULL,11,0.71,14.0,15.0,-1.0,-0.14,-0.81,11.1,16.0,-4.9,-0.7,-0.97
Lucas Bergvall,se SWE,MF,19.04,18,670.0,37.0,29.8,7.4,6,81.0,4,12,16.0,7,1.28,17.0,12.0,5.0,0.67,0.33,12.6,14.2,-1.6,-0.21,-0.29
Timo Werner,de GER,"FW,MF",28.95,17,507.0,30.0,22.5,5.6,4,71.0,0,13,17.0,3,0.88,10.0,12.0,-2.0,-0.36,-1.03,10.8,11.5,-0.7,-0.12,-0.14
Antonín Kinský,cz CZE,GK,21.93,4,360.0,90.0,16.0,4.0,4,90.0,4,0,NULL,1,0.75,6.0,7.0,-1.0,-0.25,-0.82,3.8,6.9,-3.1,-0.77,-0.91
Richarlison,br BRA,FW,27.77,9,279.0,31.0,12.4,3.1,2,66.0,0,7,21.0,0,1.44,8.0,2.0,6.0,1.94,1.71,4.5,4.4,0.1,0.04,0.05
Mikey Moore,eng ENG,"FW,MF",17.52,7,185.0,26.0,8.2,2.1,2,53.0,0,5,16.0,4,1.29,4.0,1.0,3.0,1.46,1.11,3.5,1.9,1.6,0.78,0.85
Wilson Odobert,fr FRA,FW,20.22,4,166.0,42.0,7.4,1.8,2,70.0,0,2,14.0,0,1.5,3.0,1.0,2.0,1.08,0.7,3.2,1.9,1.3,0.69,0.75
Brandon Austin,eng ENG,GK,26.11,1,90.0,90.0,4.0,1.0,1,90.0,1,0,NULL,12,0.0,1.0,2.0,-1.0,-1.0,-1.5,0.9,2.5,-1.6,-1.57,-1.62
Mathys Tel,fr FRA,FW,19.81,1,90.0,90.0,4.0,1.0,1,90.0,1,0,NULL,0,3.0,1.0,0.0,1.0,1.0,0.58,2.2,1.5,0.7,0.67,0.7
Kevin Danso,at AUT,DF,26.41,1,77.0,77.0,3.4,0.9,1,77.0,0,0,NULL,0,3.0,1.0,0.0,1.0,1.17,0.75,1.8,1.2,0.6,0.71,0.74
Sergio Reguilón,es ESP,DF,28.17,3,123.0,41.0,5.5,1.4,0,NULL,0,3,41.0,8,0.33,0.0,1.0,-1.0,-0.73,-1.24,1.9,1.2,0.7,0.53,0.57
Alfie Dorrington,eng ENG,DF,19.83,1,14.0,14.0,0.6,0.2,0,NULL,0,1,14.0,3,3.0,0.0,0.0,0.0,0.0,-0.44,0.4,0.0,0.4,2.56,2.58
Dane Scarlett,eng ENG,FW,20.90,1,12.0,12.0,0.5,0.1,0,NULL,0,1,12.0,1,3.0,1.0,0.0,1.0,7.5,7.1,0.3,0.5,-0.2,-1.52,-1.52
Will Lankshear,eng ENG,"FW,MF",19.83,3,11.0,4.0,0.5,0.1,0,NULL,0,3,4.0,12,1.33,0.0,0.0,0.0,0.0,-0.44,0.5,0.0,0.5,4.19,4.22
Oyindamola Ajayi,eng ENG,FW,19.14,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dante Cassanova,jm JAM,DF,20.66,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Devine,eng ENG,MF,20.55,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malachi Hardy,eng ENG,DF,16.94,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maeson King,eng ENG,DF,19.44,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yang Minhyeok,kr KOR,MF,18.84,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Callum Olusesi,eng ENG,MF,18.08,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Whiteman,eng ENG,GK,26.38,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Luca Williams Barnett,eng ENG,FW,16.38,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
